,Recipe_id,Recipe_taggs
0,6470,Kitchen utensil
2,6470,Party
3,6470,Date night
4,6470,Pan fry
5,6470,Dinner
6,6470,Seafood
8,6470,Others
9,6470,Every occacion
90,5950,Oven
91,5950,Kitchen utensil
92,5950,Stuffed
93,5950,Kid Friendly
98,5950,Comfort food
100,5950,Appetizers
101,5950,Bake
102,5950,Snacks
103,5950,Party
104,5950,Game day
105,5950,Every occacion
250,5620,Kitchen utensil
251,5620,Easy
255,5620,Thanksgiving
257,5620,Healthy
258,5620,Vegetarian
260,5620,Christmas
261,5620,Weeknight
262,5620,Brunch
263,5620,Others
269,5620,Winter
270,5620,Fall
271,5620,Every occacion
426,5474,Kitchen utensil
428,5474,American
429,5474,Others
430,5474,Date night
431,5474,Weeknight
432,5474,Dinner
434,5474,Comfort food
438,5474,Italina
440,5474,Lunch
441,5474,Deep fry
442,5474,Every occacion
613,5417,Kitchen utensil
615,5417,Under 30 minutes
616,5417,Appetizers
618,5417,Easy
619,5417,Others
620,5417,Every occacion
694,4548,Others
695,4548,Pan fry
696,4548,Kitchen utensil
697,4548,Comfort food
698,4548,Dinner
699,4548,One pot
700,4548,Weeknight
702,4548,Easy
703,4548,Date night
704,4548,Italina
705,4548,American
710,4548,Baking pan
713,4548,Alcoholic drinks
714,4548,Every occacion
988,5336,Appetizers
989,5336,Mexican
990,5336,Others
991,5336,Comfort food
992,5336,Oven
993,5336,Kitchen utensil
997,5336,Deep fry
1000,5336,Bake
1003,5336,Baking pan
1005,5336,Snacks
1006,5336,Party
1007,5336,Game day
1008,5336,Stuffed
1010,5336,Kid Friendly
1011,5336,Every occacion
1228,4735,Baking pan
1229,4735,Big batch
1230,4735,Comfort food
1231,4735,Kitchen utensil
1236,4735,Oven
1237,4735,Snacks
1238,4735,Christmas
1239,4735,Thanksgiving
1240,4735,Pan fry
1241,4735,Others
1244,4735,Appetizers
1245,4735,Bake
1248,4735,Game day
1249,4735,Party
1251,4735,Every occacion
1276,4432,Lunch
1277,4432,Kitchen utensil
1278,4432,Easy
1281,4432,Under 30 minutes
1283,4432,Every occacion
1316,4041,Dinner
1317,4041,Comfort food
1318,4041,Weeknight
1319,4041,Italina
1320,4041,Easy
1321,4041,Under 30 minutes
1322,4041,Others
1323,4041,Kitchen utensil
1328,4041,Seafood
1334,4041,Pan fry
1335,4041,Every occacion
1536,3667,Oven
1537,3667,Bake
1538,3667,Comfort food
1539,3667,Stuffed
1540,3667,Others
1541,3667,Lunch
1542,3667,Microwave
1543,3667,Baking pan
1544,3667,Kitchen utensil
1550,3667,Game day
1551,3667,Italina
1552,3667,Fusion
1553,3667,American
1556,3667,Weeknight
1557,3667,Every occacion
1822,865,Middle eastern
1823,865,Easy
1824,865,Vegetarian
1825,865,Weeknight
1826,865,Under 30 minutes
1827,865,Bbq
1828,865,
1829,865,Healthy
1830,865,Gluten free
1831,865,Kitchen utensil
1837,865,Others
1838,865,Fourth of july
1839,865,Chop
1840,865,Every occacion
2012,3400,Others
2013,3400,Oven
2014,3400,Comfort food
2015,3400,Stuffed
2016,3400,Dinner
2017,3400,Kitchen utensil
2018,3400,Cast iron pan
2020,3400,Greek
2021,3400,Bake
2030,3400,
2031,3400,Every occacion
2352,2232,Food Processor
2353,2232,Middle eastern
2354,2232,Vegetarian
2355,2232,Vegan
2356,2232,
2357,2232,Easy
2358,2232,Appetizers
2359,2232,Snacks
2360,2232,Weeknight
2361,2232,Healthy
2362,2232,Kid Friendly
2363,2232,Dairy free
2364,2232,Gluten free
2365,2232,Kitchen utensil
2367,2232,Baking pan
2370,2232,Every occacion
2523,42,Game day
2524,42,Comfort food
2525,42,Party
2526,42,American
2527,42,Oven
2528,42,Bake
2529,42,Appetizers
2530,42,Stuffed
2531,42,Brunch
2532,42,One pot
2533,42,Kitchen utensil
2536,42,Baking pan
2539,42,Holiday
2540,42,Others
2542,42,Every occacion
2763,1928,Freezer
2764,1928,American
2765,1928,Kid Friendly
2766,1928,
2767,1928,Gluten free
2768,1928,Vegetarian
2769,1928,5 Ingredients or less
2770,1928,Desserts
2771,1928,Easy
2773,1928,Party
2774,1928,Others
2776,1928,Kitchen utensil
2778,1928,Baking pan
2781,1928,Every occacion
2858,1341,American
2859,1341,Healthy
2860,1341,Easy
2861,1341,Dinner
2862,1341,Bake
2863,1341,
2864,1341,Gluten free
2865,1341,Weeknight
2866,1341,Date night
2867,1341,Baking pan
2868,1341,Kitchen utensil
2869,1341,Under 30 minutes
2870,1341,5 Ingredients or less
2872,1341,Oven
2874,1341,Seafood
2875,1341,Every occacion
2984,1742,Oven
2985,1742,Dairy free
2986,1742,Vegetarian
2987,1742,Vegan
2988,1742,Healthy
2989,1742,Easy
2990,1742,Dinner
2991,1742,Bbq
2992,1742,Party
2993,1742,Bake
2994,1742,Kitchen utensil
2998,1742,Baking pan
3002,1742,Every occacion
3117,1260,Comfort food
3118,1260,Others
3119,1260,Easy
3120,1260,Vegetarian
3122,1260,Breakfast
3123,1260,Special Occasion
3124,1260,Pan fry
3125,1260,Brunch
3127,1260,American
3128,1260,Kid Friendly
3129,1260,Kitchen utensil
3135,1260,
3139,1260,Alcoholic drinks
3140,1260,Every occacion
3417,613,Oven
3418,613,Italina
