iter	Logloss
0	0.6692846774
1	0.6480500747
2	0.6293036498
3	0.613800141
4	0.5990536322
5	0.5857289293
6	0.5748135816
7	0.5643814176
8	0.5564970431
9	0.5479796412
10	0.5402760471
11	0.5335177551
12	0.527884545
13	0.5220929411
14	0.5169762203
15	0.5118221559
16	0.5074611619
17	0.503490385
18	0.4998705124
19	0.4962207225
20	0.4929537449
21	0.489657429
22	0.4865197299
23	0.4838046961
24	0.4815955764
25	0.4789781391
26	0.4766394146
27	0.474740893
28	0.4728112591
29	0.4711164166
30	0.4695361647
31	0.4681906524
32	0.4664951776
33	0.465026522
34	0.4638839561
35	0.4625668579
36	0.4612980409
37	0.460134976
38	0.4593165161
39	0.4579742366
40	0.4571202291
41	0.4562778072
42	0.4556566932
43	0.4548349838
44	0.4539939115
45	0.4534228711
46	0.4527676121
47	0.452203014
48	0.4516225373
49	0.4507830502
50	0.450154193
51	0.4494511759
52	0.4488866468
53	0.4482897499
54	0.4476849597
55	0.4470751858
56	0.4466956859
57	0.4463258698
58	0.4458893732
59	0.4453529694
60	0.4449952388
61	0.4445685879
62	0.4442274482
63	0.4439170201
64	0.443385254
65	0.4430207916
66	0.4427650943
67	0.4425339108
68	0.4421178878
69	0.4418618102
70	0.4415335791
71	0.441198258
72	0.4410087217
73	0.4407129013
74	0.440454989
75	0.4402519292
76	0.4396382537
77	0.4394464723
78	0.4391454081
79	0.4389988035
80	0.4384802133
81	0.4382639289
82	0.437827899
83	0.4376742722
84	0.4375305496
85	0.4373460229
86	0.4372340694
87	0.43697594
88	0.4367774625
89	0.4365056681
90	0.4362961516
91	0.4360987205
92	0.4359790689
93	0.4358455432
94	0.4355815447
95	0.4353827556
96	0.4352156778
97	0.435019142
98	0.4348589118
99	0.4347321221
100	0.4344953708
101	0.4343555023
102	0.4342367799
103	0.4341362094
104	0.4339918073
105	0.4338166366
106	0.4337005022
107	0.4335389302
108	0.4333598176
109	0.4332124129
110	0.4331057603
111	0.4329539715
112	0.4328639914
113	0.432610877
114	0.4325312357
115	0.4324640868
116	0.4323786556
117	0.4322867994
118	0.4321707767
119	0.4320726095
120	0.4320019252
121	0.4318683476
122	0.4315914165
123	0.4314913507
124	0.4313530468
125	0.4312541641
126	0.4311753509
127	0.431074448
128	0.430911923
129	0.4307625022
130	0.430684509
131	0.430472888
132	0.4303418758
133	0.430241129
134	0.4301868295
135	0.4300595706
136	0.4299139023
137	0.4297869121
138	0.4297232221
