iter	Passed	Remaining
0	15	153886
1	25	129172
2	35	117266
3	44	111363
4	54	109731
5	65	109009
6	76	108694
7	86	107595
8	95	106484
9	105	105148
10	115	104851
11	125	104405
12	135	103946
13	145	103427
14	156	104062
15	166	104113
16	178	104569
17	188	104714
18	198	104205
19	207	103633
20	216	102965
21	227	102963
22	236	102623
23	244	101775
24	254	101604
25	265	101805
26	275	101903
27	286	101956
28	295	101682
29	304	101221
30	313	100963
31	324	100940
32	334	100886
33	343	100666
34	353	100620
35	363	100654
36	374	100887
37	385	101097
38	394	100677
39	402	100334
40	412	100260
41	422	100254
42	433	100421
43	443	100354
44	454	100601
45	464	100525
46	474	100452
47	484	100376
48	492	100116
49	502	100007
50	511	99870
51	523	100221
52	534	100300
53	543	100101
54	554	100233
55	565	100503
56	577	100667
57	588	100926
58	598	100888
59	609	100902
60	619	100884
61	630	101009
62	640	101026
63	652	101345
64	664	101533
65	676	101781
66	688	102018
67	698	101961
68	710	102220
69	723	102596
70	737	103170
71	748	103257
72	759	103297
73	770	103308
74	780	103325
75	790	103231
76	799	103072
77	809	103034
78	819	102973
79	828	102754
80	837	102519
81	847	102535
82	858	102617
83	870	102717
84	881	102855
85	891	102825
86	901	102769
87	911	102709
88	922	102718
89	933	102809
90	943	102724
91	956	102970
92	966	102918
93	977	103016
94	988	103059
95	998	103007
96	1007	102883
97	1017	102774
98	1026	102626
99	1036	102620
100	1048	102747
101	1059	102836
102	1072	103025
103	1083	103090
104	1093	103039
105	1102	102878
106	1110	102720
107	1120	102643
108	1132	102788
109	1143	102792
110	1154	102840
111	1164	102828
112	1176	102899
113	1186	102899
114	1195	102789
115	1204	102658
116	1214	102577
117	1225	102644
118	1235	102554
119	1245	102528
120	1257	102702
121	1274	103180
122	1286	103305
123	1297	103377
124	1311	103569
125	1322	103611
126	1336	103878
127	1346	103858
128	1357	103875
129	1367	103824
130	1378	103821
131	1388	103803
132	1397	103650
133	1406	103533
134	1415	103408
135	1424	103287
136	1434	103268
137	1443	103171
138	1454	103186
139	1464	103160
140	1474	103110
141	1484	103029
142	1493	102963
143	1502	102815
144	1511	102755
145	1522	102736
146	1531	102658
147	1541	102612
148	1551	102606
149	1562	102602
150	1573	102617
151	1583	102611
152	1592	102510
153	1601	102409
154	1611	102352
155	1620	102264
156	1630	102238
157	1640	102200
158	1651	102208
159	1662	102233
160	1673	102272
161	1686	102440
162	1696	102404
163	1714	102815
164	1725	102821
165	1734	102728
166	1744	102724
167	1755	102718
168	1765	102689
169	1776	102710
170	1786	102694
171	1795	102615
172	1805	102534
173	1814	102478
174	1825	102489
175	1834	102407
176	1844	102350
177	1854	102343
178	1865	102351
179	1876	102361
180	1887	102367
181	1895	102251
182	1904	102160
183	1913	102071
184	1923	102070
185	1933	102011
186	1943	101998
187	1952	101925
188	1963	101931
189	1974	101934
190	1985	101950
191	1994	101871
192	2003	101789
193	2013	101754
194	2024	101774
195	2033	101717
196	2042	101634
197	2055	101774
198	2069	101935
199	2083	102084
200	2096	102185
201	2105	102125
202	2115	102088
203	2126	102127
204	2138	102192
205	2151	102299
206	2164	102381
207	2176	102447
208	2187	102470
209	2196	102420
210	2207	102417
211	2216	102324
212	2227	102341
213	2240	102474
214	2253	102565
215	2265	102602
216	2277	102659
217	2288	102710
218	2299	102705
219	2308	102612
220	2319	102613
221	2329	102599
222	2339	102585
223	2353	102724
224	2365	102772
225	2379	102925
226	2389	102883
227	2398	102816
228	2409	102822
229	2421	102840
230	2433	102912
231	2445	102980
232	2457	102997
233	2469	103057
234	2479	103015
235	2489	103018
236	2499	102952
237	2508	102889
238	2518	102873
239	2528	102836
240	2538	102788
241	2549	102813
242	2560	102825
243	2570	102774
244	2580	102752
245	2590	102717
246	2599	102654
247	2609	102601
248	2619	102595
249	2627	102489
250	2640	102561
251	2652	102614
252	2662	102588
253	2673	102591
254	2684	102589
255	2695	102583
256	2706	102585
257	2715	102530
258	2725	102496
259	2733	102393
260	2743	102377
261	2754	102368
262	2764	102340
263	2774	102326
264	2784	102298
265	2794	102263
266	2803	102178
267	2812	102127
268	2823	102130
269	2832	102074
270	2844	102128
271	2855	102136
272	2866	102145
273	2878	102173
274	2889	102194
275	2901	102209
276	2911	102212
277	2922	102195
278	2931	102141
279	2941	102100
280	2952	102106
281	2963	102125
282	2973	102111
283	2984	102119
284	2994	102070
285	3004	102043
286	3013	101994
287	3023	101960
288	3033	101923
289	3043	101915
290	3053	101886
291	3064	101882
292	3074	101852
293	3084	101836
294	3094	101816
295	3103	101744
296	3113	101702
297	3122	101671
298	3131	101614
299	3143	101623
300	3151	101564
301	3162	101541
302	3173	101549
303	3184	101553
304	3194	101552
305	3204	101518
306	3215	101521
307	3224	101462
308	3233	101412
309	3244	101431
310	3255	101431
311	3266	101439
312	3277	101448
313	3288	101448
314	3298	101413
315	3309	101406
316	3318	101373
317	3328	101329
318	3338	101302
319	3349	101335
320	3360	101326
321	3371	101333
322	3382	101339
323	3393	101346
324	3401	101270
325	3411	101247
326	3423	101258
327	3433	101246
328	3446	101309
329	3457	101305
330	3469	101334
331	3482	101402
332	3494	101458
333	3505	101462
334	3516	101466
335	3527	101449
336	3539	101502
337	3552	101541
338	3564	101594
339	3576	101619
340	3592	101748
341	3604	101779
342	3617	101835
343	3629	101872
344	3640	101891
345	3653	101932
346	3666	101995
347	3681	102107
348	3697	102242
349	3709	102268
350	3722	102332
351	3733	102321
352	3747	102412
353	3760	102463
354	3774	102560
355	3788	102627
356	3801	102677
357	3814	102742
358	3829	102836
359	3843	102921
360	3856	102976
361	3870	103051
362	3885	103154
363	3899	103235
364	3912	103286
365	3927	103368
366	3941	103449
367	3953	103482
368	3968	103585
369	3984	103701
370	3999	103809
371	4012	103855
372	4029	103991
373	4044	104109
374	4060	104207
375	4076	104341
376	4092	104450
377	4107	104545
378	4121	104624
379	4137	104734
380	4153	104856
381	4171	105023
382	4186	105128
383	4202	105246
384	4217	105326
385	4236	105524
386	4252	105631
387	4268	105737
388	4286	105897
389	4300	105969
390	4313	106000
391	4327	106077
392	4340	106103
393	4354	106175
394	4369	106241
395	4382	106282
396	4396	106343
397	4411	106421
398	4425	106483
399	4438	106523
400	4453	106603
401	4466	106636
402	4479	106682
403	4494	106766
404	4509	106838
405	4523	106892
406	4536	106927
407	4552	107037
408	4563	107022
409	4576	107039
410	4590	107090
411	4606	107193
412	4619	107243
413	4633	107296
414	4647	107350
415	4662	107412
416	4677	107502
417	4692	107566
418	4708	107660
419	4721	107699
420	4735	107741
421	4746	107724
422	4760	107789
423	4774	107838
424	4789	107894
425	4805	108009
426	4821	108096
427	4836	108158
428	4852	108248
429	4868	108342
430	4882	108393
431	4895	108429
432	4909	108473
433	4922	108505
434	4936	108552
435	4949	108571
436	4964	108635
437	4978	108683
