iter	Logloss
0	0.6817784278
1	0.6712712384
2	0.6594561707
3	0.6489733846
4	0.640994426
5	0.6321991426
6	0.6243818355
7	0.616660471
8	0.6093893011
9	0.6027331814
10	0.5978959753
11	0.5934598687
12	0.5885713543
13	0.5836369281
14	0.5789711483
15	0.5750220261
16	0.5714397035
17	0.5676862624
18	0.5642485438
19	0.5617254906
20	0.558742904
21	0.5560221399
22	0.5534373273
23	0.5509558041
24	0.5486252182
25	0.5464299755
26	0.5444291799
27	0.5430691466
28	0.5414130455
29	0.5399375587
30	0.5381628318
31	0.5369611185
32	0.5353318248
33	0.5337435273
34	0.53227901
35	0.5309090741
36	0.5295952148
37	0.5285995318
38	0.5274972944
39	0.526624494
40	0.5254661549
41	0.5242538705
42	0.5230934145
43	0.5219202704
44	0.5211795146
45	0.5202139894
46	0.5193157732
47	0.5184847825
48	0.5175417577
49	0.5167567714
50	0.5158571474
51	0.5152635334
52	0.5145525356
53	0.5138026322
54	0.5130334957
55	0.5123030934
56	0.5114507751
57	0.5107163799
58	0.5100314272
59	0.5095058006
60	0.5087940993
61	0.5081555043
62	0.5075873675
63	0.5064901959
64	0.5060665304
65	0.5055139289
66	0.5045244662
67	0.5041300226
68	0.5036669019
69	0.503166951
70	0.5026763268
71	0.5022106088
72	0.5018656561
73	0.501553451
74	0.5008122384
75	0.5005634004
76	0.5002202743
77	0.4996575809
78	0.4992366909
79	0.4988679735
80	0.4985113984
81	0.4982019467
82	0.4978945385
83	0.4975446754
84	0.4972190193
85	0.4967923669
86	0.4964599457
87	0.4961455002
88	0.4959286929
89	0.4955880367
90	0.4953093802
91	0.4950402266
92	0.4947930543
93	0.4945636651
94	0.4942727635
95	0.4939713685
96	0.4937299732
97	0.4935149805
98	0.4931050442
99	0.4928100767
100	0.4922812709
101	0.4920319826
102	0.4917944681
103	0.4915270659
104	0.4913467554
105	0.4910945257
106	0.4908599158
107	0.4906338849
108	0.4904295017
109	0.4901923029
110	0.489999555
111	0.4895740631
112	0.4893369625
113	0.4891747245
114	0.4889684904
115	0.4887513385
116	0.4885293974
117	0.4883380079
118	0.4881240029
119	0.4878516311
120	0.4877090437
121	0.4873398841
122	0.48702608
123	0.486870663
124	0.4866703303
125	0.4864795544
126	0.4861430376
127	0.4859213
128	0.4857306123
129	0.4854466662
130	0.4852385706
131	0.4850921427
132	0.4847853794
133	0.4844974368
134	0.4842900255
135	0.4841296412
136	0.4839729134
137	0.483708553
138	0.4835955242
139	0.4834193967
140	0.4832420014
141	0.482880938
142	0.4827132792
143	0.4825767244
144	0.4822933265
145	0.4820602916
146	0.4818736003
147	0.4817325763
148	0.4816151001
149	0.4814941831
150	0.4811795183
151	0.4809206915
152	0.4808007595
153	0.4806882029
154	0.4805180477
155	0.4802974047
156	0.4800196365
157	0.4797541792
158	0.4795766338
159	0.4793298391
160	0.4790248795
161	0.4787798398
162	0.4785402501
163	0.4783831575
164	0.4782804953
165	0.4780558624
166	0.4778946963
167	0.4777417451
168	0.4775902465
169	0.4773561291
170	0.4771789533
171	0.4768779677
172	0.4767509679
173	0.4766148645
174	0.4764958363
175	0.4763948337
176	0.4762364631
177	0.4761240017
178	0.4759932212
179	0.475810357
180	0.4756539073
181	0.4753781225
182	0.4752918118
183	0.475154773
184	0.4750724015
185	0.4748347406
186	0.4746680071
187	0.4744918782
188	0.4743868287
189	0.4742645423
190	0.47416107
191	0.4739845878
192	0.4737448606
193	0.4735723362
194	0.4733848953
195	0.4731656824
196	0.4730743111
197	0.4729649441
198	0.4728442159
199	0.4726023017
200	0.4724747416
201	0.4723148163
202	0.4721354081
203	0.4720567045
204	0.4719568966
205	0.4718832905
206	0.4717900701
207	0.4717136168
208	0.4716249939
209	0.4715565119
210	0.4714897102
211	0.4713912044
212	0.4712410268
213	0.471110203
214	0.4710020591
215	0.470914705
216	0.4707981796
217	0.4706382202
218	0.4705668727
219	0.4703867763
220	0.4703250286
221	0.4702672057
222	0.4700477597
223	0.4698534486
224	0.4696706689
225	0.4696067385
226	0.4694442355
227	0.4693610524
228	0.4692736971
229	0.4691829085
230	0.4690958359
231	0.4688953725
232	0.468841737
233	0.4686451665
234	0.4684785171
235	0.4683886529
236	0.4683252381
237	0.4682604919
238	0.4681907836
239	0.4680974699
240	0.4680153274
241	0.4679696294
242	0.4678857203
243	0.4677815089
244	0.4675982487
245	0.4673741164
246	0.4672844356
247	0.4672110863
248	0.467128025
249	0.466953237
250	0.4668934702
251	0.4667812618
252	0.4666339387
253	0.46649155
254	0.4664413546
255	0.4663082654
256	0.4662313632
257	0.4661217478
258	0.4660465466
259	0.465985496
260	0.4658255002
261	0.4657627729
262	0.4656783622
263	0.4656148017
264	0.465552222
265	0.465442583
266	0.4652856972
267	0.4652472642
268	0.4650935833
269	0.4650244861
270	0.4649084718
271	0.4648466381
272	0.4648049512
273	0.4646438015
274	0.4646088092
275	0.4644580977
276	0.4643767456
277	0.4642621705
278	0.4640880305
279	0.4639466621
280	0.4638180412
281	0.4637143565
282	0.4635927718
283	0.4635210351
284	0.4634700952
285	0.4633404291
286	0.4632014843
287	0.4631133725
