iter	Passed	Remaining
0	18	371644
1	32	329327
2	48	322100
3	63	318592
4	80	321104
5	98	329127
6	119	342417
7	137	342775
8	153	341600
9	173	345925
10	192	350286
11	213	355823
12	233	359491
13	250	358127
14	269	358402
15	287	359554
16	306	359776
17	327	363229
18	345	363396
19	362	361809
20	386	367421
21	407	369690
22	440	382818
23	458	381628
24	480	383826
25	503	386705
26	521	385416
27	540	385884
28	556	383526
29	573	381633
30	594	383258
31	615	384296
32	637	385985
33	657	386339
34	675	385356
35	696	386122
36	714	385540
37	733	385577
38	751	384540
39	769	383811
40	788	384026
41	810	385059
42	832	386426
43	860	390327
44	879	390039
45	900	390547
46	920	390771
47	940	390902
48	958	390261
49	973	388617
50	993	388582
51	1015	389689
52	1038	390792
53	1058	391104
54	1077	390724
55	1097	390995
56	1117	390916
57	1136	390623
58	1154	390120
59	1171	389283
60	1189	388932
61	1209	388824
62	1230	389358
63	1252	390097
64	1269	389231
65	1290	389867
66	1312	390563
67	1332	390533
68	1354	391173
69	1371	390456
70	1389	389887
71	1407	389558
72	1428	389883
73	1448	390037
74	1471	390869
75	1490	390713
76	1511	391158
77	1531	391188
78	1552	391529
79	1569	390885
80	1586	390046
81	1607	390576
82	1627	390450
83	1647	390707
84	1669	391249
85	1690	391335
86	1710	391551
87	1731	391849
88	1750	391631
89	1769	391409
90	1785	390618
91	1804	390562
92	1823	390423
93	1843	390454
94	1863	390534
95	1883	390541
96	1903	390638
97	1924	390909
98	1944	390888
99	1965	391193
100	1984	390898
101	2000	390194
102	2024	391069
103	2043	390920
104	2062	390722
105	2082	390804
106	2103	390984
107	2124	391386
108	2146	391672
109	2166	391656
110	2185	391524
111	2202	391064
112	2221	390895
113	2241	391037
114	2260	390817
115	2280	390885
116	2297	390401
117	2321	391187
118	2344	391624
119	2364	391744
120	2383	391602
121	2400	391140
122	2419	391033
123	2438	390832
124	2457	390758
125	2478	390914
126	2498	390914
127	2517	390904
128	2539	391155
129	2556	390810
130	2576	390830
131	2593	390429
132	2611	390083
133	2633	390372
134	2651	390149
135	2670	389978
136	2688	389841
137	2709	390033
138	2732	390378
139	2755	390907
140	2775	390940
141	2793	390654
142	2811	390377
143	2828	390082
144	2847	389942
145	2867	389941
146	2888	390065
147	2908	390195
148	2929	390259
149	2951	390621
150	2973	390837
151	2992	390805
152	3009	390446
153	3029	390382
154	3051	390683
155	3067	390244
156	3088	390413
157	3109	390548
158	3129	390554
159	3153	391027
160	3174	391122
161	3194	391196
162	3212	390960
163	3230	390728
164	3250	390691
165	3266	390305
166	3287	390482
167	3305	390189
168	3324	390136
169	3346	390405
170	3372	391108
171	3394	391291
172	3411	390933
173	3427	390567
174	3447	390592
175	3466	390456
176	3485	390372
177	3506	390456
178	3523	390169
179	3542	390030
180	3565	390445
181	3589	390881
182	3612	391225
183	3630	391006
184	3649	390871
185	3669	390871
186	3688	390793
187	3707	390752
188	3726	390635
189	3747	390686
190	3767	390719
191	3787	390771
192	3811	391187
193	3828	390909
194	3849	390924
195	3870	391044
196	3887	390823
197	3907	390741
198	3928	390850
199	3948	390905
200	3969	391040
201	3989	390997
202	4006	390706
203	4026	390693
204	4046	390697
205	4065	390652
206	4081	390221
207	4098	389994
208	4116	389772
209	4136	389853
210	4157	389899
211	4179	390119
212	4198	390016
213	4219	390169
214	4240	390202
215	4260	390221
216	4281	390339
217	4300	390261
218	4317	389997
219	4336	389858
220	4358	390081
221	4379	390148
222	4404	390634
223	4422	390468
224	4440	390239
225	4457	390009
226	4476	389923
227	4493	389694
228	4510	389436
229	4528	389272
230	4547	389181
231	4568	389295
232	4589	389334
233	4609	389387
234	4632	389605
235	4649	389366
236	4670	389435
237	4691	389519
238	4707	389244
239	4725	389047
240	4741	388781
241	4759	388582
242	4778	388513
243	4799	388572
244	4823	388923
245	4841	388816
246	4861	388774
247	4882	388846
248	4902	388850
249	4920	388722
250	4940	388715
251	4959	388657
252	4980	388704
253	5003	388972
254	5024	389056
255	5045	389154
256	5067	389314
257	5087	389321
258	5106	389199
259	5122	388915
260	5141	388843
261	5160	388746
262	5182	388918
263	5207	389315
264	5228	389342
265	5248	389375
266	5270	389489
267	5287	389300
268	5307	389299
269	5326	389207
270	5344	389052
271	5361	388872
272	5382	388932
273	5404	389097
274	5424	389056
275	5447	389308
276	5465	389122
277	5483	389045
278	5504	389065
279	5523	388985
280	5541	388844
281	5559	388731
282	5581	388864
283	5604	389055
284	5624	389059
285	5644	389109
286	5662	388945
287	5682	388939
288	5702	388945
289	5720	388766
290	5739	388736
291	5758	388643
292	5776	388514
293	5795	388479
294	5816	388498
295	5838	388663
296	5863	389010
297	5883	388982
298	5907	389236
299	5925	389109
300	5944	389027
301	5964	389006
302	5981	388847
303	6001	388842
304	6022	388924
305	6042	388885
306	6064	389011
307	6085	389097
308	6108	389232
309	6127	389214
310	6144	389021
311	6165	389027
312	6184	388989
313	6206	389081
314	6225	389056
315	6244	388990
316	6268	389195
317	6287	389149
318	6308	389188
319	6324	388983
320	6342	388856
321	6360	388676
322	6376	388454
323	6398	388574
324	6418	388584
325	6438	388563
326	6458	388585
327	6479	388626
328	6498	388523
329	6518	388537
330	6536	388418
331	6554	388286
332	6572	388198
333	6592	388148
334	6612	388192
335	6631	388102
336	6651	388110
337	6671	388120
338	6693	388223
339	6713	388221
340	6732	388140
341	6754	388268
342	6772	388151
343	6791	388042
344	6808	387912
345	6826	387769
346	6845	387700
347	6867	387816
348	6888	387852
349	6911	388004
350	6929	387886
351	6947	387780
352	6964	387642
353	6982	387523
354	7000	387402
355	7020	387401
356	7039	387344
357	7060	387402
358	7082	387466
359	7108	387803
360	7129	387883
361	7149	387867
362	7167	387739
363	7186	387655
364	7204	387567
365	7224	387557
366	7244	387530
367	7264	387568
368	7285	387609
369	7304	387551
370	7324	387546
371	7345	387563
372	7364	387531
373	7382	387403
374	7398	387182
375	7416	387060
376	7436	387082
377	7456	387090
378	7474	386975
379	7496	387039
380	7518	387132
381	7537	387119
382	7556	387058
383	7574	386917
384	7592	386815
385	7609	386687
386	7630	386691
387	7649	386634
388	7666	386488
389	7686	386469
390	7708	386600
391	7733	386834
392	7756	386964
393	7775	386914
394	7792	386767
395	7812	386781
396	7832	386760
397	7850	386662
398	7870	386663
399	7890	386612
400	7911	386656
401	7933	386775
402	7954	386790
403	7972	386709
404	7992	386719
405	8011	386636
406	8030	386566
407	8048	386500
408	8066	386385
409	8088	386486
410	8111	386595
411	8131	386610
412	8151	386604
413	8169	386511
414	8187	386394
415	8205	386292
416	8223	386190
417	8242	386145
418	8261	386084
419	8282	386108
420	8303	386150
421	8324	386223
422	8344	386179
423	8367	386312
424	8385	386246
425	8404	386150
426	8422	386070
427	8443	386132
428	8462	386060
429	8479	385936
430	8499	385929
431	8515	385713
432	8533	385645
433	8556	385731
434	8582	386016
435	8599	385892
436	8618	385834
437	8638	385794
438	8656	385726
439	8676	385688
440	8693	385590
441	8709	385389
442	8729	385358
443	8750	385420
444	8771	385445
445	8791	385426
