,stateProvince,country,decimalLatitude_min,decimalLongitude_min,decimalLatitude_max,decimalLongitude_max
0,Australian Capital Territory,Australia,-35.8905,148.771,-35.124508,150.76287
1,Capitol Territory,Australia,-35.271357034161646,149.130646,-35.271357034161646,149.130646
2,Jervis Bay Territory,Australia,-35.159439,150.707778,-35.151111,150.757783
3,New South Wales,Australia,-37.502812,141.045033,-28.159902,153.636442
4,Northern Territory,Australia,-25.7,129.006,-11.12,137.85
5,Queensland,Australia,-34.65,138.0,-11.96666,153.554734
6,South Australia,Australia,-38.05643,132.72,-31.425,140.99512
7,Tasmania,Australia,-43.7667,143.839421,-39.0594,148.356592
8,Victoria,Australia,-39.71167,140.96758,-34.0901,149.975
9,Western Australia,Australia,-35.0961,114.91667,-13.894444,128.985
0,Alajuela,Costa Rica,10.0,-85.329843,10.900351,-84.164903
1,Alajuela Province,Costa Rica,10.4667,-84.4667,10.4667,-84.4667
2,Cartago,Costa Rica,9.748917,-83.898806,10.092201,-83.596245
3,Cartago Province,Costa Rica,9.892214375790722,-83.65025938282236,9.892214375790722,-83.65025938282236
4,Guanacaste,Costa Rica,9.86823,-85.47945,10.991875,-84.86618339348665
5,Heredia,Costa Rica,9.972857,-84.162636,10.594964,-83.851932
6,Heredia Province,Costa Rica,10.28214,-84.04547,10.28214,-84.04547
7,Limon,Costa Rica,9.5667,-84.48333054979456,10.5833,-82.81667
8,Limon Prov.,Costa Rica,10.1,-83.5167,10.52895872616216,-83.49598587658481
9,Limon Province,Costa Rica,9.6333,-83.54545873192932,10.042973136598151,-82.8333
10,Limón,Costa Rica,9.422133,-83.920673,10.690566,-82.564591
11,Provincia De Puntarenas,Costa Rica,8.7068,-83.48758,8.70698,-83.48755
12,Puntarenas,Costa Rica,8.376218,-85.140938,10.315092,-82.933333
13,Puntarenas Province,Costa Rica,8.7,-83.52,8.7,-83.52
14,San Jose,Costa Rica,9.285758302559977,-84.07103819615405,9.940603403441056,-83.7
15,San José,Costa Rica,9.208956,-84.584284,9.938717,-83.520663
0,Bocas Del Toro,Panama,8.925476,-82.864062,9.540622,-82.088455
1,Canal Zone,Panama,8.8,-79.91667,9.33333,-79.55
2,Chiriqui Prov.,Panama,8.273989,-82.860744,8.273989,-82.860744
3,Chiriquí,Panama,8.042016,-82.891735,8.84361,-81.615228
4,Cocle,Panama,8.6,-80.592,8.667,-80.13333
5,Cocle Prov.,Panama,8.600678,-80.126725,8.600678,-80.126725
6,Coclé,Panama,8.557421,-80.661974,8.70152,-80.112831
7,Colon Prov.,Panama,9.002708,-80.074578,9.331111,-79.768889
8,Colón,Panama,8.832593,-80.706661,9.561892,-79.543405
9,Darién,Panama,7.630692,-78.452968,8.828914,-77.516949
10,Emberá,Panama,7.999704,-78.120834,8.368941,-77.550406
11,Guna Yala,Panama,9.25,-78.25,9.25,-78.25
12,Kuna Yala,Panama,8.666748,-78.999226,9.319922,-77.419982
13,Los Santos,Panama,7.446488,-80.559612,7.743625,-80.084305
14,Ngöbe Buglé,Panama,8.866266,-82.236598,8.866266,-82.236598
15,Panama,Panama,8.48333,-79.847026,9.156078,-78.51667
16,Panama Prov.,Panama,8.954572,-79.8498,9.353736,-78.942881
17,Panama Province,Panama,9.3139,-79.20492,9.3139,-79.20492
18,Panamá,Panama,8.7917,-79.687569,9.334032,-78.46868
19,Panamá Oeste,Panama,8.6375,-80.028758,9.166667,-79.557534
20,Veraguas,Panama,8.115208,-81.294281,8.650797,-80.963435
21,West Panama Prov.,Panama,9.158867,-79.846361,9.158867,-79.846361
0,Gaza,Mozambique,-25.19361,31.678611,-22.079167,33.566667
1,Inhambane,Mozambique,-21.43397,33.827017,-21.4121,33.874375
2,Manica,Mozambique,-19.585948,33.084807,-19.431575,33.287486
3,Maputo,Mozambique,-26.329907,32.065052,-25.077627,32.807222
4,Província De Tete,Mozambique,-16.119389,33.618333,-16.119389,33.618333
5,Sofala,Mozambique,-18.980254,34.072778,-18.040972,35.215905
6,Tete,Mozambique,-17.383333,35.1,-17.383333,35.1
0,Cape,South Africa,-33.4,22.77,-29.52,26.26
1,Cape Prov.,South Africa,-33.9255,18.858833,-31.4875,29.008333
2,Cape Province,South Africa,-33.9667,16.45,-28.633333,26.533333
3,Eastern Cape,South Africa,-34.118889,23.630838,-30.858333,29.97988
4,Eastern Cape Province,South Africa,-33.9181,25.57,-33.9181,25.57
5,Free State,South Africa,-30.654444,25.317,-27.23967,29.658631
6,Free State Province,South Africa,-29.133333,26.2,-27.866667,27.916667
7,Gauteng,South Africa,-26.55889,27.829824,-25.653359,28.530958
8,Gauteng Province,South Africa,-26.2042,28.0458,-26.13,28.2
9,Kwazulu-Natal,South Africa,-30.833333,28.7625,-26.865,32.81
10,Kwazulu-Natal Province,South Africa,-29.033333,29.416667,-28.0217,32.2722
11,Limpopo,South Africa,-25.306954,27.063506,-22.230311,31.77529
12,Limpopo Province,South Africa,-23.6,30.1,-22.631778,30.399361
13,Mpumalanga,South Africa,-27.3541,28.46667,-22.41955,31.976094
14,Natal Prov.,South Africa,-28.842,31.493667,-26.906,32.865667
15,North West,South Africa,-27.654167,25.5,-24.66667,27.722688
16,Northern Cape,South Africa,-32.785278,16.98333,-25.75,24.95202
17,Transvaal,South Africa,-30.783333,27.96,-24.89,31.75
18,Transvaal Prov.,South Africa,-25.733167,27.690167,-25.733167,27.690167
19,Transvaal Province,South Africa,-31.25,20.05,-26.7167,26.5833
20,Western Cape,South Africa,-34.773805,17.95,-24.270958,30.108087
0,Central,Botswana,-23.542137,26.708342,-22.301803,28.871913
1,Chobe,Botswana,-18.119741,25.216108,-17.794175,25.369002
2,Ghanzi,Botswana,-22.372182,23.675065,-22.372182,23.675065
3,Ngamiland District,Botswana,-19.12,23.05,-19.12,23.05
4,North-West,Botswana,-19.943308,21.969309,-18.488784,23.64283
